iter	Passed	Remaining
0	194	194554
1	228	114188
2	264	87923
3	289	72114
4	332	66258
5	350	58086
6	377	53499
7	400	49723
8	439	48409
9	461	45669
10	510	45923
11	542	44628
12	624	47389
13	656	46258
14	683	44893
15	703	43243
16	706	40880
17	727	39671
18	744	38449
19	758	37186
20	773	36073
21	795	35362
22	811	34468
23	829	33739
24	845	32980
25	850	31844
26	861	31028
27	873	30317
28	908	30408
29	920	29772
30	931	29102
31	940	28450
32	950	27848
33	959	27265
34	972	26821
35	982	26307
36	992	25842
37	1001	2535338	1003	24731
39	1013	24332440	1024	23952
41	1032	23543442	1039	23145443	1048	22786444	1056	22416445	1064	22079446	1073	21747447	1083	21496448	1096	21249449	1107	21050550	1116	20751	1117	20373
52	1128	20158
53	1138	19949
54	1152	19808
55	155	1183	1956	156	1207	19970
57	1217	19778
58	1232	19660
59	1242	19469
60	1252	19286
61	1263	19122
62	1274	1863	163	1283	1864	164	1295	1865	165	1307	1866	166	1316	1867	167	1327	1868	168	1338	1869	169	1350	1770	170	1361	1771	171	1373	1772	172	1383	1773	173	1394	1774	174	1406	1775	175	1419	1776	176	1439	1777	177	1450	1778	178	1461	1779	179	1470	1680	880	1481	1681	881	1491	1682	882	1502	1683	183	1511	1684	184	1522	1685	185	1533	1686	886	1542	1687	187	1557	1688	188	1584	16222
89	1595	16132
90	1605	16041
91	1613	15929
92	1621	1593	1612	15540
94	1622	15457
95	195	1657	1596	196	1672	1597	197	1692	1598	198	1709	1599	199	1720	15100	100	1731	15101	101	1743	15102	102	1755	15103	103	1780	15340
104	1792	15274
105	1802	15202
106	1809	15101
107	1817	15008
108	1830	14963
109	1839	14886
110	1851	14826
111	1861	14760
112	1872	14698
113	1884	14648
114	1895	14587
115	1904	14516
116	1915	14457
117	1925	14390
118	1947	14418
119	1958	14363
120	1969	14304
121	1979	14246
122	1990	14194
123	2003	14152
124	2018	14130
125	2028	14071
126	2039	14021
127	2051	13975
128	2062	13926
129	2071	13864
130	2083	13822
131	2094	13771
132	2103	13710
133	2111	13649
134	2119	13577
135	2128	13520
136	2136	13461
137	2147	13415
138	2158	13368
139	2167	13317
140	2177	13268
141	2187	13214
142	2196	13162
143	2208	13129
144	2217	13076
145	2226	13024
146	2236	12978
147	2245	12927
148	2254	12877
149	2263	12825
150	2270	12768
151	2283	12740
152	2294	12704
153	2303	12654
154	2315	12620
155	2325	12581
156	2345	12593
157	2359	12571
158	2367	12523
159	2376	12476
160	2385	12430
161	2394	12387
162	2405	12354
163	2417	12322
164	2425	12276
165	2436	12240
166	2446	12204
167	2455	12161
168	2465	12121
169	2476	12090
170	2485	12049
171	2494	12010
172	2505	11975
173	2517	11952
174	2532	11937
175	2542	11903
176	2552	11866
177	2562	11831
178	2573	11802
179	2580	11754
180	2589	11715
181	2600	11689
182	2610	11654
183	2622	11630
184	2631	11592
185	2639	11549
186	26187	2187	2636	1188	2188	2646	1189	2189	2654	1190	2190	2665	1191	2699	11361
192	2711	11339
193	2723	11313
194	2731	11274
195	2745	11261
196	2755	11233
197	2765	11200
198	2775	11171
199	2786	11147
200	2795	11112
201	2805	11081
202	2815	11052
203	2825	11026
204	2834	10993
205	2841	10952
206	2849	10916
207	2857	10880
208	2865	10843
209	2871	10801
210	2878	10763
211	2886	10728
212	2894	10693
213	2905	10670
214	2913	10636
215	2921	10603
216	2931	10576
217	2939	10546
218	2950	10522
219	2962	10501
220	2972	10477
221	2991	10483
222	3000	10453
223	3010	10428
224	3021	10406
225	3033	10388
226	3044	10365
227	3053	10339
228	3061	10308
229	3069	10277
230	3078	10248
231	3087	10221
232	3098	10198
233	3108	10174
234	3117	10148
235	3128	10127
236	3137	10101
237	3146	10072
238	3155	10046
239	3170	10040
240	3181	10018
241	3187	9983
242	3192	9945
243	3199	9913
244	3207	9883
245	3215	9855
246	3223	9826
247	3233	9803
248	3240	9775
249	3248	9745
250	3257	9721
251	3266	9695
252	3274	9667
253	3283	9642
254	3292	9618
255	3300	9591
256	3307	9563
257	3315	9536
258	3323	9509
259	3332	9484
260	3341	9460
261	3348	9431
262	3355	9402
263	3362	9374
264	3371	9350
265	3380	9326
266	3387	9298
267	3394	9271
268	3400	9240
269	3406	9211
270	3415	9186
271	3421	9158
272	3444	9173
273	3453	9150
274	3462	9127
275	3471	9105
276	3480	9083
277	3490	9064
278	3499	9042
279	3508	9021
280	3516	8997
281	3524	8972
282	3531	8948
283	3539	8923
284	3549	8903
285	3557	8880
286	3563	8853
287	3571	8830
288	3579	8806
289	3588	8784
290	3597	8764
291	3604	8740
292	3614	8721
293	3621	8697
294	3630	8676
295	3638	8653
296	3646	8630
297	3654	8609
298	3662	8586
299	3670	8564
300	3678	8543
301	3688	8524
